Brand,Product,Price,Description,Url
PNY,"
 GeForce RTX 3080 XLR8 Gaming EPIC-X RGB Triple Fan Edition -näytönohjain, 10GB GDDR6X
","829,00 
                                        ","PCIe 4.0, HDMI/3xDP  
                                        ",https://jimms.fi/fi/Product/Show/164796/vcg308010tfxppb/pny-geforce-rtx-3080-xlr8-gaming-epic-x-rgb-triple-fan-edition-naytonohjain-10gb-gddr6x
MSI,"
 NVIDIA GeForce GT 710 1GD3H LP -näytönohjain, 1GB DDR3, PCI-E 2.0
","45,00 
                                        ","VGA/DVI/HDMI, passiivinen jäähdytys, Low Profile  
                                        ",https://jimms.fi/fi/Product/Show/119552/gt-710-1gd3h-lp/msi-nvidia-geforce-gt-710-1gd3h-lp-naytonohjain-1gb-ddr3-pci-e-2_0
PNY,"
 GeForce RTX 3080 XLR8 Gaming EPIC-X RGB Triple Fan Edition -näytönohjain, 10GB GDDR6X
","829,00 
                                        ","PCIe 4.0, HDMI/3xDP  
                                        ",https://jimms.fi/fi/Product/Show/164795/vcg308010tfxmpb/pny-geforce-rtx-3080-xlr8-gaming-epic-x-rgb-triple-fan-edition-naytonohjain-10gb-gddr6x
PowerColor,"
 Radeon RX 5700 XT Red Dragon OC -näytönohjain, 8GB GDDR6
","449,00 
                                        ","PCI-E 4.0, HDMI/3xDP  
                                        ",https://jimms.fi/fi/Product/Show/153436/axrx-5700xt-8gbd6-3dhr-oc/powercolor-radeon-rx-5700-xt-red-dragon-oc-naytonohjain-8gb-gddr6
Zotac,"
 GeForce RTX 3090 Trinity -näytönohjain, 24GB GDDR6X
","1 699,00 
                                        ","PCIe 4.0, HDMI/3xDP  
                                        ",https://jimms.fi/fi/Product/Show/164906/zt-a30900d-10p/zotac-geforce-rtx-3090-trinity-naytonohjain-24gb-gddr6x
Asus,"
 GeForce GTX 1660 Super - TUF Gaming OC Edition -näytönohjain, 6GB GDDR6
","264,90 
                                        ","PCI-E 3.0, DVI/HDMI/DP  
                                        ",https://jimms.fi/fi/Product/Show/161642/tuf-gtx1660s-o6g-gaming/asus-geforce-gtx-1660-super-tuf-gaming-oc-edition-naytonohjain-6gb-gddr6
EVGA,"
 GeForce RTX 3090 FTW3 ULTRA GAMING -näytönohjain, 24GB GDDR6X
","2 099,00 
                                        ","PCIe 4.0, HDMI/3xDP  
                                        ",https://jimms.fi/fi/Product/Show/165682/24g-p5-3987-kr/evga-geforce-rtx-3090-ftw3-ultra-gaming-naytonohjain-24gb-gddr6x
MSI,"
 GeForce GTX 1650 AERO ITX OC -näytönohjain, 4GB GDDR5
","159,00 
                                        ","PCI-E 3.0, DVI/HDMI/DP  
                                        ",https://jimms.fi/fi/Product/Show/150925/gtx-1650-aero-itx-4g-oc/msi-geforce-gtx-1650-aero-itx-oc-naytonohjain-4gb-gddr5
MSI,"
 GeForce GTX 1660 Super - GAMING X -näytönohjain, 6GB GDDR6
","296,00 
                                        ","PCI-E 3.0, HDMI/3xDP  
                                        ",https://jimms.fi/fi/Product/Show/155669/gtx-1660-super-gaming-x/msi-geforce-gtx-1660-super-gaming-x-naytonohjain-6gb-gddr6
Sapphire,"
 Radeon RX 5600 XT Pulse -näytönohjain, 6GB GDDR6
","339,00 
                                        ","PCI-E 4.0, HDMI/3xDP  
                                        ",https://jimms.fi/fi/Product/Show/157933/11296-01-20g/sapphire-radeon-rx-5600-xt-pulse-naytonohjain-6gb-gddr6
Sapphire,"
 Radeon RX 5700 XT Pulse -näytönohjain, 8GB GDDR6
","449,00 
                                        ","PCI-E 4.0, HDMI/3xDP  
                                        ",https://jimms.fi/fi/Product/Show/153318/11293-01-20g/sapphire-radeon-rx-5700-xt-pulse-naytonohjain-8gb-gddr6
Gainward,"
 GeForce RTX 2070 Super Phoenix V1 -näytönohjain, 8GB GDDR6
","549,00 
                                        ","PCI-E 3.0, HDMI/3xDP  
                                        ",https://jimms.fi/fi/Product/Show/162685/gain-1730/gainward-geforce-rtx-2070-super-phoenix-v1-naytonohjain-8gb-gddr6
Palit,"
 GeForce GTX 1660 Super - GamingPro OC -näytönohjain, 6GB GDDR6
","259,00 
                                        ","PCI-E 3.0, DVI/HDMI/DP  
                                        ",https://jimms.fi/fi/Product/Show/155371/ne6166ss18j9-1160a/palit-geforce-gtx-1660-super-gamingpro-oc-naytonohjain-6gb-gddr6
KFA2,"
 GeForce GTX 1660 Super - 1 Click OC -näytönohjain, 6GB GDDR6 (Tarjous! Norm. 269€!)
","249,00 
                                        ","PCI-E 3.0, DVI/HDMI/DP  
                                        ",https://jimms.fi/fi/Product/Show/157915/60srl7dsy91k/kfa2-geforce-gtx-1660-super-1-click-oc-naytonohjain-6gb-gddr6-tarjous-norm-269
Gigabyte,"
 GeForce GTX 1660 OC -näytönohjain, 6GB GDDR5
","249,00 
                                        ","PCI-E 3.0, HDMI/3xDP  
                                        ",https://jimms.fi/fi/Product/Show/149831/gv-n1660oc-6gd/gigabyte-geforce-gtx-1660-oc-naytonohjain-6gb-gddr5
MSI,"
 Radeon RX 5600 XT GAMING X -näytönohjain, 6GB GDDR6 (Tarjous! Norm. 359,90€)
","339,00 
                                        ","PCI-E 4.0, HDMI/3xDP  
                                        ",https://jimms.fi/fi/Product/Show/158099/rx-5600-xt-gaming-x/msi-radeon-rx-5600-xt-gaming-x-naytonohjain-6gb-gddr6-tarjous-norm-359_90
Palit,"
 GeForce RTX 3090 GamingPro -näytönohjain, 24GB GDDR6X
","1 639,00 
                                        ","PCIe 4.0, HDMI/3xDP  
                                        ",https://jimms.fi/fi/Product/Show/164858/ned3090019sb-132ba/palit-geforce-rtx-3090-gamingpro-naytonohjain-24gb-gddr6x
Gigabyte,"
 GeForce RTX 2060 Super GAMING OC -näytönohjain, 8GB GDDR6
","479,00 
                                        ","PCI-E 3.0, HDMI/3xDP  
                                        ",https://jimms.fi/fi/Product/Show/163435/gv-n206sgaming-oc-8gd-2-0/gigabyte-geforce-rtx-2060-super-gaming-oc-naytonohjain-8gb-gddr6
Asus,"
 GeForce RTX 2080 Super Dual OC EVO -näytönohjain, 8GB GDDR6 (Norm. 819,90€)
","649,90 
                                        ","PCI-E 3.0, HDMI/3xDP  
                                        ",https://jimms.fi/fi/Product/Show/152848/dual-rtx2080s-o8g-evo/asus-geforce-rtx-2080-super-dual-oc-evo-naytonohjain-8gb-gddr6-norm-819_90
Asus,"
 GeForce RTX 3070 DUAL -näytönohjain, 8GB GDDR6
","569,90 
                                        ","PCIe 4.0, 2xHDMI/3xDP  
                                        ",https://jimms.fi/fi/Product/Show/164825/dual-rtx3070-8g/asus-geforce-rtx-3070-dual-naytonohjain-8gb-gddr6
Asus,"
 GeForce RTX 2060 ROG STRIX -näytönohjain, 6GB GDDR6
","435,00 
                                        ","PCI-E 3.0, 2xHDMI/2xDP  
                                        ",https://jimms.fi/fi/Product/Show/148463/strix-rtx2060-6g-gaming/asus-geforce-rtx-2060-rog-strix-naytonohjain-6gb-gddr6
EVGA,"
 GeForce RTX 3090 FTW3 GAMING -näytönohjain, 24GB GDDR6X
","2 049,00 
                                        ","PCIe 4.0, HDMI/3xDP  
                                        ",https://jimms.fi/fi/Product/Show/165681/24g-p5-3985-kr/evga-geforce-rtx-3090-ftw3-gaming-naytonohjain-24gb-gddr6x
Palit,"
 GeForce RTX 3090 GamingPro OC -näytönohjain, 24GB GDDR6X
","1 679,00 
                                        ","PCIe 4.0, HDMI/3xDP  
                                        ",https://jimms.fi/fi/Product/Show/164857/ned3090s19sb-132ba/palit-geforce-rtx-3090-gamingpro-oc-naytonohjain-24gb-gddr6x
Gigabyte,"
 GeForce RTX 2060 GAMING OC PRO rev. 2.0 -näytönohjain, 6GB GDDR6
","399,00 
                                        ","PCI-E 3.0, HDMI/3xDP  
                                        ",https://jimms.fi/fi/Product/Show/149628/gv-n2060gamingocpro-6gd2-0/gigabyte-geforce-rtx-2060-gaming-oc-pro-rev-2_0-naytonohjain-6gb-gddr6
Gigabyte,"
 GeForce GTX 1660 Super - Gaming OC -näytönohjain, 6GB GDDR6
","279,00 
                                        ","PCI-E 3.0, HDMI/3xDP  
                                        ",https://jimms.fi/fi/Product/Show/155570/gv-n166sgaming-oc-6gd/gigabyte-geforce-gtx-1660-super-gaming-oc-naytonohjain-6gb-gddr6
Zotac,"
 GeForce RTX 3070 Twin Edge -näytönohjain, 8GB GDDR6
","569,00 
                                        ","PCIe 4.0, HDMI/3xDP  
                                        ",https://jimms.fi/fi/Product/Show/164908/zt-a30700e-10p/zotac-geforce-rtx-3070-twin-edge-naytonohjain-8gb-gddr6
Asus,"
 GeForce RTX 3070 ROG Strix - OC Edition -näytönohjain, 8GB GDDR6
","739,90 
                                        ","PCIe 4.0, 2xHDMI/3xDP  
                                        ",https://jimms.fi/fi/Product/Show/164826/rog-strix-rtx3070-o8g-gaming/asus-geforce-rtx-3070-rog-strix-oc-edition-naytonohjain-8gb-gddr6
MSI,"
 Radeon RX 5500 XT GAMING X -näytönohjain, 8GB GDDR6
","265,00 
                                        ","PCI-E 4.0, HDMI/3xDP  
                                        ",https://jimms.fi/fi/Product/Show/157152/rx-5500-xt-gaming-x-8g/msi-radeon-rx-5500-xt-gaming-x-naytonohjain-8gb-gddr6
NVIDIA,"
 Titan RTX -näytönohjain, 24GB GDDR6
","3 099,00 
                                        ","PCI-E 3.0, HDMI/3xDP/USB-C  
                                        ",https://jimms.fi/fi/Product/Show/151723/900-1g150-2500-000/nvidia-titan-rtx-naytonohjain-24gb-gddr6
MSI,"
 GeForce GT 1030 LP OC-näytönohjain, 2GB GDDR5
","88,00 
                                        ","PCI-E 3.0, DP/HDMI, low profile  
                                        ",https://jimms.fi/fi/Product/Show/130721/gt-1030-2g-lp-oc/msi-geforce-gt-1030-lp-oc-naytonohjain-2gb-gddr5
MSI,"
 GeForce GT 1030 LP OC-näytönohjain, 2GB GDDR5
","88,00 
                                        ","PCI-E 3.0, DP/HDMI, passiivinen jäähdytys, low profile  
                                        ",https://jimms.fi/fi/Product/Show/130718/gt-1030-2gh-lp-oc/msi-geforce-gt-1030-lp-oc-naytonohjain-2gb-gddr5
PowerColor,"
 Radeon RX 5700 XT Liquid Devil -näytönohjain, 8GB GDDR6
","659,00 
                                        ","PCI-E 4.0, HDMI/3xDP  
                                        ",https://jimms.fi/fi/Product/Show/156584/axrx-5700xt-8gbd6-wdh-oc/powercolor-radeon-rx-5700-xt-liquid-devil-naytonohjain-8gb-gddr6
Gigabyte,"
 GeForce RTX 2070 Super GAMING OC 3X WHITE -näytönohjain, 8GB GDDR6
","649,00 
                                        ","PCI-E 3.0, HDMI/3xDP/  
                                        ",https://jimms.fi/fi/Product/Show/155008/gv-n207sgamingoc-white-8gd/gigabyte-geforce-rtx-2070-super-gaming-oc-3x-white-naytonohjain-8gb-gddr6
EVGA,"
 GeForce RTX 3090 XC3 GAMING -näytönohjain, 24GB GDDR6X
","1 849,00 
                                        ","PCIe 4.0, HDMI/3xDP  
                                        ",https://jimms.fi/fi/Product/Show/165684/24g-p5-3973-kr/evga-geforce-rtx-3090-xc3-gaming-naytonohjain-24gb-gddr6x
EVGA,"
 GeForce RTX 3090 XC3 ULTRA GAMING -näytönohjain, 24GB GDDR6X
","1 899,00 
                                        ","PCIe 4.0, HDMI/3xDP  
                                        ",https://jimms.fi/fi/Product/Show/165685/24g-p5-3975-kr/evga-geforce-rtx-3090-xc3-ultra-gaming-naytonohjain-24gb-gddr6x
Gigabyte,"
 GeForce GTX 1660 Ti AORUS -näytönohjain, 6GB GDDR6
","369,00 
                                        ","PCI-E 3.0, HDMI/3xDP  
                                        ",https://jimms.fi/fi/Product/Show/149231/gv-n166taorus-6gd/gigabyte-geforce-gtx-1660-ti-aorus-naytonohjain-6gb-gddr6
