Brand,Product,Price,Description,Url
ARCTIC,"
 Freezer 34 eSports - Grey/White -prosessorijäähdytin
","33,90 
                                        ","Pidä suorittimesi meno viileänä Arcticin jäähdytysratkaisujen avulla!  
                                        ",https://jimms.fi/fi/Product/Show/155748/acfre00072a/arctic-freezer-34-esports-grey-white-prosessorijaahdytin
Cooler Master,"
 Hyper 212 RGB Black Edition -prosessorijäähdytin
","59,90 
                                        ","Tummanpuhuva RGB-valaistuksella varustettu prosessorisi tunteiden viilentäjä! | 120mm tuuletin  
                                        ",https://jimms.fi/fi/Product/Show/145981/rr-212s-20pc-r1/cooler-master-hyper-212-rgb-black-edition-prosessorijaahdytin
Noctua,"
 Prosessorijäähdytin NH-L9x65, Intel LGA115x/2011(-3), AMD AM2(+)/AM3(+)/AM4/FMx
","49,90 
                                        ",,https://jimms.fi/fi/Product/Show/111648/nh-l9x65/noctua-prosessorijaahdytin-nh-l9x65-intel-lga115x-2011-3-amd-am2-am3-am4-fmx
Alpenföhn,"
 Ben Nevis -prosessorijäähdytin
","26,90 
                                        ","Pidä suorittimesi lämmöt aisoissa Alpenföhnin avustuksella! | 120mm  
                                        ",https://jimms.fi/fi/Product/Show/144879/84000000119/alpenfohn-ben-nevis-prosessorijaahdytin
ARCTIC,"
 Freezer 34 eSports - Red -prosessorijäähdytin
","33,90 
                                        ","Pidä suorittimesi meno viileänä Arcticin jäähdytysratkaisujen avulla!  
                                        ",https://jimms.fi/fi/Product/Show/148483/acfre00056a/arctic-freezer-34-esports-red-prosessorijaahdytin
ARCTIC,"
 Freezer 34 eSports DUO - Grey -prosessorijäähdytin
","39,90 
                                        ","Pidä suorittimesi meno viileänä Arcticin jäähdytysratkaisujen avulla! | 2 x 120mm  
                                        ",https://jimms.fi/fi/Product/Show/155747/acfre00075a/arctic-freezer-34-esports-duo-grey-prosessorijaahdytin
Noctua,"
 NH-U12S SE-AM4 -prosessorijäähdytin, AMD AM4
","62,90 
                                        ","Noctuan avulla jäähdytät AMD AM4 -prosessorisi tehokkaasti!  
                                        ",https://jimms.fi/fi/Product/Show/127857/nh-u12s-se-am4/noctua-nh-u12s-se-am4-prosessorijaahdytin-amd-am4
Alpenföhn,"
 Ben Nevis Advanced Black RGB -prosessorijäähdytin
","36,90 
                                        ","Pidä suorittimesi lämmöt aisoissa Alpenföhnin avustuksella! | 130mm RGB  
                                        ",https://jimms.fi/fi/Product/Show/144881/84000000152/alpenfohn-ben-nevis-advanced-black-rgb-prosessorijaahdytin
Raijintek,"
 LETO -prosessorijäähdytin, musta/RGB
","34,90 
                                        ","Pidä suorittimesi lämmöt kurissa Raijintekin avulla! | 120mm  
                                        ",https://jimms.fi/fi/Product/Show/140439/0r100075/raijintek-leto-prosessorijaahdytin-musta-rgb
Noctua,"
 Prosessorijäähdytin NH-D9L (LGA 115x/2011, AMD AM2/AM3/AM4/FMx)
","51,90 
                                        ",,https://jimms.fi/fi/Product/Show/108916/nh-d9l/noctua-prosessorijaahdytin-nh-d9l-lga-115x-2011-amd-am2-am3-am4-fmx
Scythe,"
 Big Shuriken 3 -prosessorijäähdytin
","44,90 
                                        ","Niitä lämpöhuolet nurin Scythen tuotteilla!  
                                        ",https://jimms.fi/fi/Product/Show/150308/scbsk-3000/scythe-big-shuriken-3-prosessorijaahdytin
be quiet!,"
 Pure Rock 2 -prosessorijäähdytin
","39,90 
                                        ","Hiljaista ja tehokasta jäähdytystä! | 1 x 120mm  
                                        ",https://jimms.fi/fi/Product/Show/162118/bk006/be-quiet-pure-rock-2-prosessorijaahdytin
Noctua,"
 Prosessorijäähdytin NH-U9S (LGA 115x/2011, AMD AMx/FMx)
","56,90 
                                        ",,https://jimms.fi/fi/Product/Show/108915/nh-u9s/noctua-prosessorijaahdytin-nh-u9s-lga-115x-2011-amd-amx-fmx
Noctua,"
 Prosessorijäähdytin NH-C14S, LGA115x/2011(-3), AMx/FM1/FM2(+)
","74,90 
                                        ",,https://jimms.fi/fi/Product/Show/111798/nh-c14s/noctua-prosessorijaahdytin-nh-c14s-lga115x-2011-3-amx-fm1-fm2
ARCTIC,"
 Accelero Xtreme IV rev.2 -näytönohjainjäähdytin, mm. GTX1080 ja 1070, RTX2080 (Ti)
","59,90 
                                        ",,https://jimms.fi/fi/Product/Show/95328/dcaco-v800001-gba01/arctic-accelero-xtreme-iv-rev-2-naytonohjainjaahdytin-mm-gtx1080-ja-1070-rtx2080-ti
Cryorig,"
 Prosessorijäähdytin H7, LGA115X, AM2(+)/3(+)/4, FM1/2(+)
","42,90 
                                        ",,https://jimms.fi/fi/Product/Show/115814/cr-h7a/cryorig-prosessorijaahdytin-h7-lga115x-am2-3-4-fm1-2
Jonsbo,"
 CR-1000 GT -prosessorijäähdytin
","31,40 
                                        ","Selätä prosessorisi lämpömurheet Jonsbon avulla | 1 x 120mm  
                                        ",https://jimms.fi/fi/Product/Show/162165/cr-1000gt/jonsbo-cr-1000-gt-prosessorijaahdytin
Noctua,"
 NH-L9x65 SE-AM4 -prosessorijäähdytin, AMD AM4
","49,90 
                                        ","Noctuan avulla jäähdytät AMD AM4 -prosessorisi tehokkaasti!  
                                        ",https://jimms.fi/fi/Product/Show/127856/nh-l9x65-se-am4/noctua-nh-l9x65-se-am4-prosessorijaahdytin-amd-am4
Jonsbo,"
 M.2-3 GREY, passiivijäähdytin M.2 2280 SSD-levylle, harmaa
","6,20 
                                        ","Jäähdytykseen Jonsbo!  
                                        ",https://jimms.fi/fi/Product/Show/162212/m-2-3-grey/jonsbo-m-2-3-grey-passiivijaahdytin-m-2-2280-ssd-levylle-harmaa
Cooler Master,"
 Hyper 212 Black Edition -prosessorijäähdytin
","44,90 
                                        ","Tummanpuhuva prosessorisi tunteiden viilentäjä! | 120mm tuuletin  
                                        ",https://jimms.fi/fi/Product/Show/145979/rr-212s-20pk-r1/cooler-master-hyper-212-black-edition-prosessorijaahdytin
SilentiumPC,"
 Fortis 3 EVO ARGB -prosessorijäähdytin
","43,90 
                                        ","Suoritin viileäksi SilentiumPC:n avulla! | 1 x 140mm  
                                        ",https://jimms.fi/fi/Product/Show/160944/spc278/silentiumpc-fortis-3-evo-argb-prosessorijaahdytin
Jonsbo,"
 HP-400 -prosessorijäähdytin
","26,20 
                                        ","Selätä prosessorisi lämpömurheet Jonsbon avulla | 1 x 90mm  
                                        ",https://jimms.fi/fi/Product/Show/162185/hp-400/jonsbo-hp-400-prosessorijaahdytin
AMD,"
 Vakio prosessorijäähdytin, AM4, 65W TDP
","8,90 
                                        ",,https://jimms.fi/fi/Product/Show/154984/amd-wraith-spire-65w/amd-vakio-prosessorijaahdytin-am4-65w-tdp
SilentiumPC,"
 Fera 3 EVO ARGB -prosessorijäähdytin
","39,90 
                                        ","Prosessorin lämmöt kuriin SilentiumPC:n avulla!  
                                        ",https://jimms.fi/fi/Product/Show/164019/spc281/silentiumpc-fera-3-evo-argb-prosessorijaahdytin
Scythe,"
 Mugen 5 TUF Gaming Alliance -prosessorijäähdytin RGB-valaistuksella
","59,90 
                                        ","Niitä lämpöhuolet nurin Scythen tuotteilla!  
                                        ",https://jimms.fi/fi/Product/Show/150311/scmg-5100tuf/scythe-mugen-5-tuf-gaming-alliance-prosessorijaahdytin-rgb-valaistuksella
be quiet!,"
 Dark Rock Pro TR4 -prosessorijäähdytin
","89,90 
                                        ","Ei kompromisseja hiljaisuuden ja suorituskyvyn osalta!  
                                        ",https://jimms.fi/fi/Product/Show/156565/bk023/be-quiet-dark-rock-pro-tr4-prosessorijaahdytin
SilverStone,"
 TP02-M2, jäähdytyssarja M.2 2280 SSD-levylle
","14,90 
                                        ","Pidä M.2 SSD-levysi viileänä Silverstonen avulla!  
                                        ",https://jimms.fi/fi/Product/Show/142407/sst-tp02-m2/silverstone-tp02-m2-jaahdytyssarja-m-2-2280-ssd-levylle
ARCTIC,"
 Alpine 12 -prosessorijäähdytin
","11,90 
                                        ","Kompakti jäähdytin Intel-prosessoreille!  
                                        ",https://jimms.fi/fi/Product/Show/145986/acalp00027a/arctic-alpine-12-prosessorijaahdytin
Scythe,"
 Ninja 5 prosessoricooleri, LGA775/115x/1366/2011(-3)/2066, AM2(+)/AM3(+)/AM4/FM1/FM2(+)
","55,90 
                                        ",,https://jimms.fi/fi/Product/Show/139217/scnj-5000/scythe-ninja-5-prosessoricooleri-lga775-115x-1366-2011-3-2066-am2-am3-am4-fm1-fm2
ARCTIC,"
 Alpine 12 Passive, CPU-cooleri
","14,90 
                                        ","Hiljainen jäähdytysratkaisu Intel 115x-prosessoreille!  
                                        ",https://jimms.fi/fi/Product/Show/142919/acalp00024a/arctic-alpine-12-passive-cpu-cooleri
Jonsbo,"
 M.2 GREY, passiivijäähdytin M.2 2280 SSD-levylle, harmaa
","7,30 
                                        ","Jäähdytykseen Jonsbo!  
                                        ",https://jimms.fi/fi/Product/Show/162210/m-2-grey/jonsbo-m-2-grey-passiivijaahdytin-m-2-2280-ssd-levylle-harmaa
Cooler Master,"
 MasterAir G100M, RGB-valaistu prosessorijäähdytin
","46,00 
                                        ","Uudelleenmäärittele jäähdytys!  
                                        ",https://jimms.fi/fi/Product/Show/138022/mam-g1cn-924pc-r1/cooler-master-masterair-g100m-rgb-valaistu-prosessorijaahdytin
Jonsbo,"
 CR-2000 GT -prosessorijäähdytin
","52,40 
                                        ","Selätä prosessorisi lämpömurheet Jonsbon avulla | 2 x 120mm  
                                        ",https://jimms.fi/fi/Product/Show/162184/cr-2000gt/jonsbo-cr-2000-gt-prosessorijaahdytin
Cooler Master,"
 Hyper TX3 Evo CPU-cooleri, 1366/115x/AM4/AM3+/FM1
","27,90 
                                        ",,https://jimms.fi/fi/Product/Show/76724/rr-tx3e-22pk-r1/cooler-master-hyper-tx3-evo-cpu-cooleri-1366-115x-am4-am3-fm1
Alphacool,"
 GPU Heatsinks 15x15mm jäähdytyssiilit, 10kpl, musta
","5,50 
                                        ",,https://jimms.fi/fi/Product/Show/77397/alc17155/alphacool-gpu-heatsinks-15x15mm-jaahdytyssiilit-10kpl-musta
Cooler Master,"
 Hyper TX3i -prosessorijäähdytin
","27,90 
                                        ",,https://jimms.fi/fi/Product/Show/133830/rr-tx3e-22pk-b1/cooler-master-hyper-tx3i-prosessorijaahdytin
Scythe,"
 Choten TUF Gaming Alliance -prosessorijäähdytin
","46,90 
                                        ","Niitä lämpöhuolet nurin Scythen tuotteilla!  
                                        ",https://jimms.fi/fi/Product/Show/150309/scct-1000tuf/scythe-choten-tuf-gaming-alliance-prosessorijaahdytin
Scythe,"
 Mugen 5 ARGB PLUS -prosessorijäähdytin
","74,90 
                                        ","Niitä lämpöhuolet nurin Scythen tuotteilla! | 2 x 120mm  
                                        ",https://jimms.fi/fi/Product/Show/158307/4571225057606/scythe-mugen-5-argb-plus-prosessorijaahdytin
Noctua,"
 NH-U14S TR4-SP3 -prosessorijäähdytin
","79,90 
                                        ","AMD TR4/SP3  
                                        ",https://jimms.fi/fi/Product/Show/132721/nh-u14s-tr4-sp3/noctua-nh-u14s-tr4-sp3-prosessorijaahdytin
ARCTIC,"
 Alpine AM4 Passive, CPU-cooleri
","14,90 
                                        ","Hiljainen jäähdytysratkaisu AMD AM4-prosessoreille!  
                                        ",https://jimms.fi/fi/Product/Show/142920/acalp00022a/arctic-alpine-am4-passive-cpu-cooleri
Jonsbo,"
 M.2-3 RED, passiivijäähdytin M.2 2280 SSD-levylle, punainen
","6,20 
                                        ","Jäähdytykseen Jonsbo!  
                                        ",https://jimms.fi/fi/Product/Show/162213/m-2-3-red/jonsbo-m-2-3-red-passiivijaahdytin-m-2-2280-ssd-levylle-punainen
Cryorig,"
 H7 Plus -prosessorijäähdytin
","59,90 
                                        ","Suorituskykyinen tornicooleri! | 2 x 120mm  
                                        ",https://jimms.fi/fi/Product/Show/149303/cr-h7pa/cryorig-h7-plus-prosessorijaahdytin
Cryorig,"
 Prosessorijäähdytin C7, LGA115x, AM2(+)/3(+), FM1/2(+)
","39,90 
                                        ",,https://jimms.fi/fi/Product/Show/115820/cr-c7a/cryorig-prosessorijaahdytin-c7-lga115x-am2-3-fm1-2
Thermal Grizzly,"
 M.2 SSD Cooler, jäähdytin M.2 2280 SSD-levylle, musta
","14,90 
                                        ","Pidä M.2 SSD-levysi lämmöt kurissa!  
                                        ",https://jimms.fi/fi/Product/Show/148782/tg-m2ssd-abr/thermal-grizzly-m-2-ssd-cooler-jaahdytin-m-2-2280-ssd-levylle-musta
Deepcool,"
 FRYZEN -prosessorijäähdytin
","104,90 
                                        ","Luotu erityisesti Threadripperillesi!  
                                        ",https://jimms.fi/fi/Product/Show/150382/dp-gs-mch6n-fzn-a/deepcool-fryzen-prosessorijaahdytin
LC-Power,"
 Cosmo Cool LC-CC-95, LGA 775/115x / AMD AM2/AM3
","15,00 
                                        ","Cosmo Cool LC-CC-95, jäähdytin 92mm lämpöohjatulla PWM-tuulettimella,  LGA 775/1155/1156 / AMD AM2/AM3  
                                        ",https://jimms.fi/fi/Product/Show/67927/lc-cc-95/lc-power-cosmo-cool-lc-cc-95-lga-775-115x-amd-am2-am3
EK-Waterblocks,"
 EK-M.2 NVMe jäähdytyssiili, nikkeli
","14,50 
                                        ",,https://jimms.fi/fi/Product/Show/133769/3830046991799/ek-waterblocks-ek-m-2-nvme-jaahdytyssiili-nikkeli
Raijintek,"
 Morpheus II Core Edition, näytönohjaimen jäähdytin
","69,90 
                                        ",,https://jimms.fi/fi/Product/Show/136379/0r100022/raijintek-morpheus-ii-core-edition-naytonohjaimen-jaahdytin
