Brand,Product,Price,Description,Url
Asus,"
 TUF B450-PLUS GAMING, ATX-emolevy
","94,90 
                                        ","AMD AM4, B450, 4 x DDR4, DVI/HDMI  
                                        ",https://jimms.fi/fi/Product/Show/143562/tuf-b450-plus-gaming/asus-tuf-b450-plus-gaming-atx-emolevy
MSI,"
 Z490-A PRO, ATX-emolevy
","169,90 
                                        ","LGA1200, Intel Z490, 4 x x DDR4, HDMI/DP  
                                        ",https://jimms.fi/fi/Product/Show/161655/z490-a-pro/msi-z490-a-pro-atx-emolevy
MSI,"
 MPG Z490 GAMING CARBON WIFI, ATX-emolevy
","279,90 
                                        ","LGA1200, Intel Z490, 4 x DDR4, HDMI/DP, 802.11ax + BT  
                                        ",https://jimms.fi/fi/Product/Show/162154/mpg-z490-gaming-carbon-wifi/msi-mpg-z490-gaming-carbon-wifi-atx-emolevy
Asus,"
 PRIME X570-P, ATX-emolevy
","199,90 
                                        ","AM4, AMD X570, 4 x DDR4, HDMI  
                                        ",https://jimms.fi/fi/Product/Show/152157/prime-x570-p/asus-prime-x570-p-atx-emolevy
Gigabyte,"
 B550M DS3H, mATX-emolevy
","99,00 
                                        ","AM4, AMD B550, 4 x DDR4, DVI/HDMI  
                                        ",https://jimms.fi/fi/Product/Show/162814/b550m-ds3h/gigabyte-b550m-ds3h-matx-emolevy
Asus,"
 PRIME Z490-P + Core i5-10600K + 16GB DDR4 3200MHz (Bundletarjous!)
","534,90 
                                        ","Koe Intelin uusi prosessorisukupolvi vaivatta tämän bundlen siivittämänä - luonnollisesti tarjoushintaan!  
                                        ",https://jimms.fi/fi/Product/Show/162486/primez490p-10600k-16gb/asus-prime-z490-p-core-i5-10600k-16gb-ddr4-3200mhz-bundletarjous
Asus,"
 ROG STRIX Z490-F GAMING + Core i5-10600K + 16GB DDR4 3200MHz (Bundletarjous!)
","609,90 
                                        ","Koe Intelin uusi prosessorisukupolvi vaivatta tämän bundlen siivittämänä - luonnollisesti tarjoushintaan!  
                                        ",https://jimms.fi/fi/Product/Show/162491/rsz490fg-10600k-16gb/asus-rog-strix-z490-f-gaming-core-i5-10600k-16gb-ddr4-3200mhz-bundletarjous
Asus,"
 PRIME B450-PLUS, ATX-emolevy
","104,90 
                                        ","AMD AM4, B450, 4 x DDR4, DVI/HDMI  
                                        ",https://jimms.fi/fi/Product/Show/143566/prime-b450-plus/asus-prime-b450-plus-atx-emolevy
Asus,"
 TUF B360-PLUS GAMING + Intel Core i5-9400F + 16GB HyperX Fury DDR4 (Bundle!)
","309,90 
                                        ","Uuden kokoonpanon perusta laakista kuntoon! | Sis. emolevyn, prosessorin sekä muistikitin!  
                                        ",https://jimms.fi/fi/Product/Show/153735/tufb360-9400f-cl16gb/asus-tuf-b360-plus-gaming-intel-core-i5-9400f-16gb-hyperx-fury-ddr4-bundle
Asus,"
 PRIME B550-PLUS, ATX-emolevy
","154,90 
                                        ","AM4, AMD B550, 4 x DDR4, HDMI/DP  
                                        ",https://jimms.fi/fi/Product/Show/162764/prime-b550-plus/asus-prime-b550-plus-atx-emolevy
