Product,Price,Description,Url
"
Kolink Stronghold, ikkunallinen miditornikotelo, valkoinen
","44,90 
                                        ","Näyttävä linnake komponenteillesi! | Karkaistusta lasista valmistettu sivupaneeli!  
                                        ",jimms.fi/fi/Product/Show/150161/stronghold-white/kolink-stronghold-ikkunallinen-miditornikotelo-valkoinen
"
Kolink BASTION, ikkunallinen miditornikotelo, musta
","57,90 
                                        ","Linnake, jonka kokoonpanosi ansaitsee!  
                                        ",jimms.fi/fi/Product/Show/152572/bastion-rgb/kolink-bastion-ikkunallinen-miditornikotelo-musta
"
Phanteks Eclipse P400A, ikkunallinen miditornikotelo, sis. RGB-kontrollerin, musta
","94,90 
                                        ","Suorituskykyinen ja näyttävä kotelouutuus! | Sis. D-RGB -kontrollerin + 3 kpl D-RGB -laitetuulettimia!  
                                        ",jimms.fi/fi/Product/Show/153228/ph-ec400atg-dbk01/phanteks-eclipse-p400a-ikkunallinen-miditornikotelo-sis-rgb-kontrollerin-musta
"
Phanteks Eclipse P400A, ikkunallinen miditornikotelo, sis. RGB-kontrollerin, valkoinen
","94,90 
                                        ","Suorituskykyinen ja näyttävä kotelouutuus! | Sis. D-RGB -kontrollerin + 3 kpl D-RGB -laitetuulettimia!  
                                        ",jimms.fi/fi/Product/Show/153229/ph-ec400atg-dwt01/phanteks-eclipse-p400a-ikkunallinen-miditornikotelo-sis-rgb-kontrollerin-valkoinen
"
Corsair Carbide Series SPEC-DELTA RGB, ATX-miditornikotelo, musta
","66,90 
                                        ","RGB-valaisua sekä vaikuttavaa muotoilua!  
                                        ",jimms.fi/fi/Product/Show/147425/cc-9011166-ww/corsair-carbide-series-spec-delta-rgb-atx-miditornikotelo-musta
"
Fractal Design Define R5 Black ATX-kotelo, musta
","109,90 
                                        ",,jimms.fi/fi/Product/Show/108956/fd-ca-def-r5-bk/fractal-design-define-r5-black-atx-kotelo-musta
"
Fractal Design Focus G, ikkunallinen ATX -kotelo, valkoinen/musta
","55,90 
                                        ","Ajattoman tyylikäs Focus G -koteloperhe tarjoaa komponenteillesi verrattoman kodin!  
                                        ",jimms.fi/fi/Product/Show/131846/fd-ca-focus-wt-w/fractal-design-focus-g-ikkunallinen-atx-kotelo-valkoinen-musta
"
be quiet! Pure Base 500DX - Black, ikkunallinen tornikotelo, musta
","109,90 
                                        ","Poikkeuksellista ilmanvirtausta, huomattavaa hiljaisuutta.  
                                        ",jimms.fi/fi/Product/Show/161697/bgw37/be-quiet-pure-base-500dx-black-ikkunallinen-tornikotelo-musta
"
Lian Li LANCOOL II Mesh Performance, ikkunallinen miditornikotelo, musta
","94,90 
                                        ","Syntynyt venyttämään rajoja!  
                                        ",jimms.fi/fi/Product/Show/163640/4718466009494/lian-li-lancool-ii-mesh-performance-ikkunallinen-miditornikotelo-musta
"
Phanteks Eclipse P300A, ikkunallinen ATX-miditornikotelo, musta
","57,90 
                                        ","Suorituskykyinen miditorni, joka tarjoaa kompromissittoman ilmanvirtauksen!  
                                        ",jimms.fi/fi/Product/Show/157433/ph-ec300atg-bk01/phanteks-eclipse-p300a-ikkunallinen-atx-miditornikotelo-musta
"
Corsair iCUE 465X RGB, ikkunallinen ATX-miditornikotelo, musta
","109,90 
                                        ","Näyttävä ja fiksu koteloratkaisu juuri Sinun kokoonpanollesi!  
                                        ",jimms.fi/fi/Product/Show/152415/cc-9011175-ww/corsair-icue-465x-rgb-ikkunallinen-atx-miditornikotelo-musta
"
Kolink Citadel Mesh RGB, ikkunallinen mATX-kotelo, musta
","65,90 
                                        ","Suorituskykyinen ja näyttävä linnoitus astetta pienemmille kokoonpanoille!  
                                        ",jimms.fi/fi/Product/Show/163490/citadel-mesh-rgb/kolink-citadel-mesh-rgb-ikkunallinen-matx-kotelo-musta
"
Kolink Observatory Lite Mesh RGB, ikkunallinen miditornikotelo, musta
","57,90 
                                        ","Hittikotelon tyylikäs pikkuveli ARGB-valaistuksella!  
                                        ",jimms.fi/fi/Product/Show/163341/observatory-lite-mesh/kolink-observatory-lite-mesh-rgb-ikkunallinen-miditornikotelo-musta
"
Lian Li LANCOOL II, ikkunallinen miditornikotelo, valkoinen
","99,90 
                                        ","Syntynyt suoriutumaan!  
                                        ",jimms.fi/fi/Product/Show/157055/4718466009210/lian-li-lancool-ii-ikkunallinen-miditornikotelo-valkoinen
"
Kolink Observatory Lite RGB, ikkunallinen miditornikotelo, musta
","57,90 
                                        ","Hittikotelon tyylikäs pikkuveli ARGB-valaistuksella!  
                                        ",jimms.fi/fi/Product/Show/163308/observatory-lite/kolink-observatory-lite-rgb-ikkunallinen-miditornikotelo-musta
"
Cooler Master MasterBox Q300L, ikkunallinen mATX-kotelo, musta
","55,90 
                                        ","Valitse tyylisi!  
                                        ",jimms.fi/fi/Product/Show/139010/mcb-q300l-kann-s00/cooler-master-masterbox-q300l-ikkunallinen-matx-kotelo-musta
"
Lian Li LANCOOL II Mesh RGB, ikkunallinen miditornikotelo, musta
","99,90 
                                        ","Syntynyt venyttämään rajoja!  
                                        ",jimms.fi/fi/Product/Show/163532/4718466009517/lian-li-lancool-ii-mesh-rgb-ikkunallinen-miditornikotelo-musta
"
Kolink Stronghold, ikkunallinen miditornikotelo, musta
","41,90 
                                        ","Näyttävä linnake komponenteillesi! | Karkaistusta lasista valmistettu sivupaneeli!  
                                        ",jimms.fi/fi/Product/Show/139969/stronghold/kolink-stronghold-ikkunallinen-miditornikotelo-musta
"
Kolink Citadel Mesh, ikkunallinen mATX-kotelo, musta
","49,90 
                                        ","Suorituskykyinen linnoitus astetta pienemmille kokoonpanoille!  
                                        ",jimms.fi/fi/Product/Show/163489/citadel-mesh/kolink-citadel-mesh-ikkunallinen-matx-kotelo-musta
"
Fractal Design Meshify C White - TG, ikkunallinen ATX-miditornikotelo, valkoinen/musta
","99,90 
                                        ","Agressiivinen poseeraus Fractal Designin kotelolinjastoon! | Karkaistusta lasista valmistettu sivupaneeli  
                                        ",jimms.fi/fi/Product/Show/140326/fd-ca-mesh-c-wt-tgc/fractal-design-meshify-c-white-tg-ikkunallinen-atx-miditornikotelo-valkoinen-musta
"
Kolink Inspire K5 RGB, ikkunallinen ATX-miditornikotelo, musta
","41,90 
                                        ","Antaudu Kolinkin inspiroitavaksi!  
                                        ",jimms.fi/fi/Product/Show/153976/inspire-k5-rgb/kolink-inspire-k5-rgb-ikkunallinen-atx-miditornikotelo-musta
"
Fractal Design Meshify C - Dark TG, ikkunallinen ATX -miditornikotelo, musta
","99,90 
                                        ","Agressiivinen poseeraus Fractal Designin kotelolinjastoon! | Karkaistusta lasista valmistettu sivupaneeli  
                                        ",jimms.fi/fi/Product/Show/132728/fd-ca-mesh-c-bko-tg/fractal-design-meshify-c-dark-tg-ikkunallinen-atx-miditornikotelo-musta
"
NZXT H510i, ikkunallinen ATX-miditornikotelo, mattavalkoinen/musta
","119,90 
                                        ","Ikoninen H-sarja on nyt entistä ehompi!  
                                        ",jimms.fi/fi/Product/Show/151669/ca-h510i-w1/nzxt-h510i-ikkunallinen-atx-miditornikotelo-mattavalkoinen-musta
"
NZXT H510, ikkunallinen ATX-miditornikotelo, mattamusta/punainen
","84,90 
                                        ","Ikoninen H-sarja on nyt entistä ehompi!  
                                        ",jimms.fi/fi/Product/Show/151667/ca-h510b-br/nzxt-h510-ikkunallinen-atx-miditornikotelo-mattamusta-punainen
"
Kolink Inspire K7 ARGB, ikkunallinen miditornikotelo, musta
","41,90 
                                        ","Inspiroidu yhä uudelleen!  
                                        ",jimms.fi/fi/Product/Show/163344/inspire-k7/kolink-inspire-k7-argb-ikkunallinen-miditornikotelo-musta
"
Lian Li LANCOOL II Mesh RGB, ikkunallinen miditornikotelo, valkoinen
","99,90 
                                        ","Syntynyt venyttämään rajoja!  
                                        ",jimms.fi/fi/Product/Show/163639/4718466009500/lian-li-lancool-ii-mesh-rgb-ikkunallinen-miditornikotelo-valkoinen
"
NZXT H510 Elite, ikkunallinen ATX-miditornikotelo, mattamusta
","169,90 
                                        ","Liity eliittiin!  
                                        ",jimms.fi/fi/Product/Show/152290/ca-h510e-b1/nzxt-h510-elite-ikkunallinen-atx-miditornikotelo-mattamusta
"
Fractal Design Define 7 Compact - Black TG Dark Tint, ikkunallinen miditornikotelo, musta
","109,90 
                                        ","Todellinen tilaihme, joka tarjoaa kokoistaan monipuolisemmat ominaisuudet!  
                                        ",jimms.fi/fi/Product/Show/162634/fd-c-def7c-02/fractal-design-define-7-compact-black-tg-dark-tint-ikkunallinen-miditornikotelo-musta
"
BitFenix Nova Mesh TG A-RGB, ikkunallinen E-ATX -kotelo, valkoinen
","89,90 
                                        ","Suorituskykyinen, näyttävä ja helppokäyttöinen majatalo kokoonpanollesi!  
                                        ",jimms.fi/fi/Product/Show/154469/bfc-nvm-300-wwgkw-4a/bitfenix-nova-mesh-tg-a-rgb-ikkunallinen-e-atx-kotelo-valkoinen
"
Corsair 275R Airflow Tempered Glass, ikkunallinen ATX-miditornikotelo, musta
","71,90 
                                        ","Ilma virtaa ja Corsair rokkaa!  
                                        ",jimms.fi/fi/Product/Show/155226/cc-9011181-ww/corsair-275r-airflow-tempered-glass-ikkunallinen-atx-miditornikotelo-musta
"
Kolink VOID, ikkunallinen ATX-miditornikotelo, musta
","54,90 
                                        ","Tyhjyys täytettäväksesi!  
                                        ",jimms.fi/fi/Product/Show/157855/void-rgb/kolink-void-ikkunallinen-atx-miditornikotelo-musta
"
Lian Li PC-O11 Dynamic - Razer Edition, ikkunallinen E-ATX -miditornikotelo, musta
","177,90 
                                        ","Lian Li + Razer = Kaunista katseltavaa!  
                                        ",jimms.fi/fi/Product/Show/149305/pc-o11dre/lian-li-pc-o11-dynamic-razer-edition-ikkunallinen-e-atx-miditornikotelo-musta
"
NZXT H1, ikkunallinen Mini-ITX -kotelo, mattavalkoinen/musta
","349,90 
                                        ","Pienellä jalanjäljellä varustettu kotelo kaikilla herkuilla!  
                                        ",jimms.fi/fi/Product/Show/160236/ca-h16wr-w1-eu/nzxt-h1-ikkunallinen-mini-itx-kotelo-mattavalkoinen-musta
"
BitFenix Nova TG, ikkunallinen ATX -miditornikotelo, valkoinen/musta
","51,90 
                                        ","Karkaistua lasia sen olla pitää!  
                                        ",jimms.fi/fi/Product/Show/132734/bfx-ntg-100-wwwkk-rp/bitfenix-nova-tg-ikkunallinen-atx-miditornikotelo-valkoinen-musta
"
SilentiumPC Regnum RG6V TG, ikkunallinen tornikotelo, musta
","59,90 
                                        ","SilentiumPC paketoi komponenttisi kokoonpanoksi!  
                                        ",jimms.fi/fi/Product/Show/161055/spc261/silentiumpc-regnum-rg6v-tg-ikkunallinen-tornikotelo-musta
"
Fractal Design Meshify C, ATX-miditornikotelo, musta
","89,90 
                                        ","Agressiivinen poseeraus Fractal Designin kotelolinjastoon!  
                                        ",jimms.fi/fi/Product/Show/139705/fd-ca-mesh-c-bko/fractal-design-meshify-c-atx-miditornikotelo-musta
"
Phanteks Enthoo PRO 2, ikkunallinen ATX-täystornikotelo, ARGB, musta
","139,90 
                                        ",,jimms.fi/fi/Product/Show/163813/ph-es620ptg_dbk01/phanteks-enthoo-pro-2-ikkunallinen-atx-taystornikotelo-argb-musta
"
DAN Cases A4-SFX v4.1 Mini-ITX -kotelo, musta
","229,90 
                                        ","Pieni ja pippurinen kotelovaihtoehto juuri Sinulle!  
                                        ",jimms.fi/fi/Product/Show/152047/a4sfxv4-b/dan-cases-a4-sfx-v4_1-mini-itx-kotelo-musta
